Start,0000
SyntaxCheck,0008
L000B,000B
L000D,000D
NextChar,0010
OutChar,0018
CompareHLDE,0020
FTestSign,0028
D015B,015B
GetFlowPtr,0276
L027A,027A
L028E,028E
CopyMemoryUp,0297
L029A,029A
L029D,029D
CheckEnoughVarSpace,02A6
OutOfMemory,02BB
L02C0,02C0
SyntaxError,02C6
Error,02D1
L02E9,02E9
Main,02F7
L0304,0304
L0339,0339
L0341,0341
GetNonBlankLine,034E
L036D,036D
L0375,0375
L037A,037A
L0386,0386
L0392,0392
L0395,0395
L03B0,03B0
InputLineWithQ,03B1
L03BC,03BC
L03C0,03C0
L03D5,03D5
L03EB,03EB
L03EF,03EF
L03F8,03F8
L0401,0401
L042B,042B
Tokenize,0444
L0446,0446
L0456,0456
L0465,0465
L046E,046E
L0476,0476
L047E,047E
L048C,048C
L048F,048F
List,0495
L049E,049E
L04A5,04A5
L04AE,04AE
L04CA,04CA
L04D0,04D0
For,04D4
L04DD,04DD
L04F4,04F4
L051A,051A
L0529,0529
L052D,052D
L0547,0547
L0552,0552
L0556,0556
L056D,056D
Print,05B7
PrintLoop,05C9
PrintTab,05DE
L05FF,05FF
L0608,0608
L060C,060C
L0630,0630
L0636,0636
L064E,064E
NextChar_tail,0653
L065E,065E
L0663,0663
L0668,0668
L066D,066D
L067F,067F
Input,0689
Read,069C
L06AD,06AD
L06C0,06C0
L06DD,06DD
L0703,0703
L0705,0705
L0710,0710
L0713,0713
L0725,0725
LetAssign,0728
L0730,0730
L0734,0734
L0738,0738
L074D,074D
LineNumToInt,0752
L0753,0753
L0756,0756
L0773,0773
Gosub,079C
Goto,07A8
L07B8,07B8
L07B9,07B9
L07D0,07D0
Return,07D5
L07F4,07F4
Restore,07FA
L0800,0800
L0803,0803
L0811,0811
FindNextStmt,0816
L082A,082A
Rem,0853
L085C,085C
L0863,0863
L086F,086F
L0871,0871
L087F,087F
Next,0899
L089B,089B
L089E,089E
L08D9,08D9
L08E0,08E0
L08E8,08E8
L08ED,08ED
L08F3,08F3
L08F6,08F6
L0902,0902
L090D,090D
L0916,0916
L0927,0927
L092C,092C
L0930,0930
L0935,0935
L094D,094D
L095E,095E
FMul,0988
FDiv,09BB
L09CF,09CF
L09DB,09DB
L09E4,09E4
L09EE,09EE
L0A18,0A18
L0A31,0A31
FNegate,0A3A
L0A3D,0A3D
L0A75,0A75
L0A83,0A83
L0A86,0A86
L0A88,0A88
L0A92,0A92
Abs,0A94
L0A97,0A97
L0AA3,0AA3
